talk,speaker,speaker_title,speaker_occ,speaker_bio
Rethinking education and celebrating the Arabic language,Ahmad M. Hasnah,,,"Dr. Ahmad M. Hasnah is President of Hamad Bin Khalifa University (HBKU), a member of Qatar Foundation for Education, Science, and Community Development in Doha, Qatar. Since he joined QF in 2002, Dr. Hasnah has been a key player in the development of Education City into a unique hub for knowledge and education through partnerships with world-class educational and research institutions."
What happened when the United States tried to ban alcohol,Rod Phillips,,,
"Every day you live, you impact the planet",Jane Goodall,,"Primatologist, conservationist","Dubbed ""the woman who redefined man"" by her biographer, Jane Goodall has changed our perceptions of primates, people and the connection between the two."
"A friendly, autonomous robot that delivers your food",Ali Kashani,,"Designer, AI specialist",Ali Kashani explores the unexpected roles robots might take on in our daily lives -- including bringing us lunch.
The tale of the boy who tricked the Devil,Iseult Gillespie,,,
The greatest mathematician that never lived,Pratik Aghor,,,
Africa is a sleeping giant -- I'm trying to wake it up,Adeola Fayehun,,"Journalist, satirist",Adeola Fayehun combines her passion for activism with her training in journalism to tell African stories on YouTube with humor.
The last chief of the Comanches and the fall of an empire,Dustin Tahmahkera,,,
Can you solve the Ragnarok riddle?,Dan Finkel,,,
What do all languages have in common?,Cameron Morin,,,
Scenes from a Black trans life,D-L Stewart,,Scholar and activist,"D-L Stewart empowers and imagines futures that sustain and cultivate the learning, growth and success of minoritized groups in postsecondary education."
Can beauty open our hearts to difficult conversations?,Titus Kaphar,,Artist,Titus Kaphar's artworks interact with the history of art by appropriating its styles and mediums.
How the pandemic will shape the near future,Bill Gates,,"Technologist, philanthropist","A passionate tech visionary, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere."
The courage to live with radical uncertainty,Shekinah Elmore,,Oncologist,Shekinah Elmore is dedicated to pursuing equity and empathy in oncology care.
What foods did your ancestors love?,Aparna Pallavi,,Journalist,"Aparna Pallavi researches and writes about uncultivated foods available in India's forest, Indigenous people's knowledge and culture around them."
Stop being a bystander in your own life,Tracy Edwards,,Trailblazer,Tracy Edwards MBE battled against the odds (and the sea) to become the first woman to win the Yachtsman of the Year Trophy.
"How women will lead us to freedom, justice and peace",Ellen Johnson Sirleaf,,"Global leader, Nobel laureate","The former President of Liberia, Nobel laureate H.E. Ellen Johnson Sirleaf promotes freedom, peace, justice, women’s empowerment and democratic rule."
The beauty and complexity of finding common ground,Matt Trombley,,"Maven, teacher, team builder","Matt Trombley is an active, passionate and service-driven leader in both his workplace and his personal life."
How Dolly Parton led me to an epiphany,Jad Abumrad,,"Radio host, producer","As a producer, the creator and host of the popular syndicated radio program ""Radiolab"" (among many other shows and podcasts), Jad Abumrad tells true stories that help people find beauty in a chaotic world."
The new urgency of climate change,Al Gore,,Climate advocate,Nobel Laureate Al Gore focused the world's attention on the global climate crisis.
First person vs. Second person vs. Third person,Rebekah Bergman,,,
How to support and celebrate living artists,Swizz Beatz,,"Music producer, entrepreneur, art enthusiast","Swizz Beatz is an American hip-hop artist, DJ, producer and entrepreneur."
"The Factory | Think Like A Coder, Ep 9",Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
Why is colonialism (still) romanticized?,Farish Ahmad-Noor,,Historian,Farish Ahmad-Noor believes that we can never truly escape history but we need not be victims of it either.
A day in the life of a teenage samurai,Constantine Vaporis,,,
How digital innovation can fight pandemics and strengthen democracy,Audrey Tang,,Digital Minister of Taiwan,Audrey Tang is Taiwan's digital minister in charge of social innovation.
The aesthetics of survival,Hari Nef,,,
The necessity of normalizing queer love,Panti Bliss,,"Activist, drag queen","Panti Bliss, also known as Rory O'Neill, is a drag queen and gay rights activist."
The myths of gay adoption,Lynne Elvins,,,"“Women can do ‘dad’ things in exactly the same way that men can do ‘mum’ things.”

In this thought-provoking and very personal talk, gay parent Lynne Elvins explores what ‘family’ means in the 21st Century. She describes how we can all re-connect and be part of wider families, providing caring, kind and inspirational role models for the next generations, regardless of our sex or whether we share the same DNA or not.

Lynne Elvins is a design strategist and runs her own consultancy business. Lynne and her partner Emma, became the first gay couple to be approved for adoption in Bristol, UK.
"
"Why am I ""so gay?""",Thomas Lloyd,,Student,Thomas Lloyd is a graduate of Georgetown University.
A path to higher education and employment for refugees,Chrystina Russell,,Executive Director of SNHU's Global Education Movement,Chrystina Russell heads initiatives that offer university education and employment to refugees and traditionally underserved learners.
How racial bias works -- and how to disrupt it,Jennifer L. Eberhardt,,"Professor, author","A social psychologist at Stanford University, Jennifer L. Eberhardt conducts research on race and inequality."
What yoga does to your body and brain,Krishna Sudhir,,,
The new science of personalized vaccines,Ofer Levy,,Physician and scientist,"Ofer Levy uses new technologies and the principles of precision medicine to develop tailored vaccines to protect the vulnerable, such as the young and the elderly, from infection."
A dose of reality about generic drugs,Katherine Eban,,Investigative journalist,"Katherine Eban's articles on pharmaceutical counterfeiting, gun trafficking and coercive interrogations by the CIA have won international attention."
Can steroids save your life?,Anees Bahji,,,
My secret to staying focused under pressure,Russell Wilson,,Seattle Seahawks quarterback,"An elite NFL quarterback, entrepreneur and community leader, Russell Wilson is dedicated to excellence."
How fast can a vaccine be made?,Dan Kwartler,,,
3 secrets of resilient people,Lucy Hone,,Resilience expert and researcher,"Dr. Lucy Hone builds resilience among individuals, communities and organizations."
How drawing can set you free,Shantell Martin,,Artist,"Shantell Martin forges new connections between fine art, education, philosophy and technology to establish an environment that values artists as integral contributors to a healthy society."
What tech companies know about your kids,Veronica Barassi,,Anthropologist,Veronica Barassi campaigns and writes about the impact of data technologies and artificial intelligence on human rights and democracy.
Which voting system is the best?,Alex Gendler,,,
How to turn your dissatisfaction into action,Yvonne Aki-Sawyerr,,"Mayor of Freetown, Sierra Leone","As mayor of Freetown, Sierra Leone, Yvonne Aki-Sawyerr is committed to addressing her city's challenges using an inclusive, data-driven approach to urban development."
"The difference between being ""not racist"" and antiracist",Ibram X. Kendi,,"Author, historian",Dr. Ibram X. Kendi writes about ending racism in all its forms.
,,,,
What can DNA tests really tell us about our ancestry?,Prosanta Chakrabarty,,Ichthyologist,Prosanta Chakrabarty studies fish to help explain the evolution of human beings and our planet. 
How to see more and care less,Iseult Gillespie,,,
The economic benefits of climate action,Marcelo Mena,,Former environment minister of Chile,"An environmentalist and former minister of the environment, Marcelo Mena is helping Chile make a low emission, resilient and inclusive transition to zero emissions by 2050."
5 steps to remove yourself from drama at work,Anastasia Penright,,Community leader,Anastasia (Stacy) Penright is a corporate business initiatives consultant with Wells Fargo by day and a community leader by night.
How to recognize your white privilege — and use it to fight inequality,Peggy McIntosh,,"Anti-racism activist, scholar","Peggy McIntosh is an anti-racism activist, scholar, and Senior Research Scientist at the Wellesley Centers for Women. She is the founder of the National SEED Project (Seeking Educational Equity and Diversity)."
A day in the life of a Peruvian shaman,Gabriel Prieto,,,
The path to ending systemic racism in the US,Dr. Phillip Atiba Goff,,"CEO, Center for Policing Equity",Dr. Phillip Atiba Goff works with police departments to help public safety be more equitable and less deadly.
We need to address the real roots of racial violence,Megan Ming Francis,,,"Megan Ming Francis is an Assistant Professor in the Department of Political Science at the University of Washington where she specializes in the study of American politics, race, and the development of constitutional law. She is particularly interested in the construction of rights and citizenship, black political activism, and the post-civil war South. Born and raised in Seattle, WA, she was educated at Garfield High School, Rice University in Houston, and Princeton University where she received her M.A. and her Ph.D. in Politics.

In her award winning book, Civil Rights and the Making of the Modern American State, shows that the battle against lynching and mob violence in the first quarter of the 20th century were pivotal to the development of civil rights and the growth of federal court power. She is inspired by people who fight for justice–even when the end appears nowhere in sight."
How tech companies can help combat the pandemic and reshape public health,Karen DeSalvo,,"Chief Health Officer, Google","Dr. Karen DeSalvo is a nationally recognized health policy leader working at the intersection of medicine, public health and information technology to improve the health of people and their communities."
"The link between climate change, health and poverty",Cheryl Holder,,Physician,Cheryl Holder advocates for comprehensive medical prevention and care strategies for poor communities impacted by climate change.
How to quickly scale up contact tracing across the US,Joia Mukherjee,,"Chief Medical Officer, Partners in Health",Dr. Joia Mukherjee is dedicated to improving health care options in poor communities.
How to support witnesses of harassment and build healthier workplaces,Julia Shaw,,Psychological scientist,Julia Shaw is best known for her work in the areas of memory and criminal psychology.
When is a pandemic over?,Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
The true cost of financial dependence,Estelle Gibson,,Accountant,Estelle Gibson helps people achieve personal freedom through financial literacy.
"What COVID-19 means for the future of commerce, capitalism and cash",Dan Schulman,,"President and CEO, PayPal",PayPal president and CEO Dan Schulman is committed to improving the financial lives of people and businesses around the world.
My story of love and loss as a transracial adoptee,Sara Jones,,Inclusion advocate,Sara Jones creates global diversity and inclusion strategies to elevate inclusive work cultures.
,,,,
Autofocusing reading glasses of the future,Nitish Padmanaban,,Electrical engineer,Nitish Padmanaban designs systems that combine optics and computation to help improve visual perception.
How to raise kids who can overcome anxiety,Anne Marie Albano,,Psychologist,"Anxiety awareness expert, Anne Marie Albano is a leading pioneer in clinical child and adolescent psychology."
The secret weapon against pandemics,Georges C. Benjamin,,"Executive Director, American Public Health Association","One of the United States' most influential physician leaders, Georges C. Benjamin speaks passionately about the health issues that have the most impact on our nation today."
"A COVID-19 ""exit"" strategy to end lockdown and reopen the economy",Uri Alon,,Biologist,"Uri Alon studies how cells work, using an array of tools (including improv theater) to understand the biological circuits that perform the functions of life."
"Why should you read ""Moby Dick""?",Sascha Morrell,,,
,,,,
How the US can address the tragedy of veteran suicide,Charles P. Smith,,Veteran's advocate,"Charles P. Smith is a branch manager with Wells Fargo. He is also a veteran’s advocate with more than fifteen years of military experience, including four years as a Midshipmen at the United States Naval Academy."
How do ventilators work?,Alex Gendler,,,
,,,,
Are we interrupting the kinky sex lives of fish?,Marah J. Hardt,,Marine scientist and storyteller,"Marah J. Hardt keeps one foot wet in the field while the other wanders the crossroads of science, storytelling and strategy."
How to rebuild the global economy,Kristalina Georgieva,,"Managing Director, International Monetary Fund",Kristalina Georgieva has helped shape the agenda of the European Union.
Can you solve the world's most evil wizard riddle?,Dan Finkel,,,
Can we edit memories?,Amy Milton,,Behavioral neuroscientist,Amy Milton researches to understand how memories are updated in the brain.
How do you know if you have a virus?,Cella Wright,,,
"To overcome challenges, stop comparing yourself to others",Dean Furness,,Wheelchair athlete,Dean Furness speaks about what it takes to succeed when faced with challenges.
The language of being human,Poet Ali,,"Catalyst of human connectivity, designer at heart","Poet Ali has crafted a unique brand of impact and connection-driven, entertainment arts. The experience feels like a nonjudgmental conversation with a talented friend full of laughter, tears and steeped in some deep truth."
What is a coronavirus?,Elizabeth Cox,,,
Restoring human dignity at the US southern border,Norma Pimentel,,Religious leader,Sister Norma Pimentel is a sister with the Missionaries of Jesus and a licensed professional counselor.
"An ER doctor on triaging your ""crazy busy"" life",Darria Long,,Emergency room physician,"Dr. Darria Long leverages the best of science to make lives healthier, better and easier. "
A day in the life of an Aztec midwife,Kay Read,,,
The US is addicted to incarceration. Here's how to break the cycle,Robin Steinberg,,"Public defender, activist","Robin Steinberg is the CEO of The Bail Project, an organization designed to combat mass incarceration in the United States by disrupting the money bail system -- one person at a time. As she says: ""I hate injustice and simply can't sit still when I see it."""
Why students should have mental health days,Hailey Hardcastle,,Mental health advocate,Hailey Hardcastle established a network of student activists in order to make schools a better place for those struggling with mental health challenges.
A virus detection network to stop the next pandemic,Pardis Sabeti,,"Computational geneticist, infectious disease researcher","Pardis Sabeti investigates the genomes of microbes, like Ebola and coronavirus, to understand how to slow them."
How American and Chinese values shaped the coronavirus response,Huang Hung,,"Writer, publisher","Beijing-based magazine publisher and blogger Huang Hung's outsized wit, fashion acumen and media entrepreneurship have led many to call her ""the Oprah of China."""
"What causes opioid addiction, and why is it so tough to combat?",Mike Davis,,,
What you need to know about face surveillance,Kade Crockford,,Privacy advocate,Kade works to protect and expand the US's core First and Fourth Amendment rights and civil liberties in the digital 21st century.
The cost of work stress -- and how to reduce it,Rob Cooke,,"Wellness advocate, relationship manager","Rob Cooke, a relationship manager for high net-worth individuals, investigates the cost of work-related stress -- both in our personal lives and the global economy."
Which is better,Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
The mental health benefits of storytelling for health care workers,Laurel Braitman,,Writer,"Laurel Braitman is a bestselling author and the director of writing and storytelling at the Stanford University School of Medicine.
"
How we're using AI to discover new antibiotics,Jim Collins,,Bioengineering professor,"One of the founders of synthetic biology, bioengineer Jim Collins is passionate about teaching and inspiring young people in the classroom and lab."
What really happened during the Salem Witch Trials,Brian Pavlac,,,
"A new way to ""grow"" islands and coastlines",Skylar Tibbits,,"Designer, computer scientist",Skylar Tibbits is the founder and codirector of the Self-Assembly Lab at MIT and assistant professor of design research in the department of architecture.
This sea creature breathes through its butt,Cella Wright,,,
The electrifying speeches of Sojourner Truth,Daina Ramey Berry,,,
"The injustice of ""policing for profit"" -- and how to end it",Dick M. Carpenter II,,Law researcher,Dick M. Carpenter II studies cutting edge issues at the intersection of social science and constitutional law. 
The dark history of IQ tests,Stefan Dombrowski,,,
"Crisis support for the world, one text away",Nancy Lublin,,Health activist,"Nancy Lublin, cofounder and former CEO of Crisis Text Line, uses technology and data to save lives."
A global pandemic calls for global solutions,Larry Brilliant,,"Epidemiologist, philanthropist","TED Prize winner Larry Brilliant has spent his career solving the world's biggest problems, from overseeing the last smallpox cases to saving millions from blindness."
What happens if you cut down all of a city's trees?,Stefan Al,,Architect,Architect and urban designer Stefan Al believes that architecture is more than just buildings.
The benefits of expressing your emotions (constructively),Artūrs Miksons,,"Psychotherapist, psychosomatic psychiatrist","Arturs is a certified doctor and works at the Rigas Stradins University, Clinic of Psychosomatic Medicine and Psychotherapy department. With a specialization in psychotherapy and psychosomatics, he works mainly with children and family matters.
Apart from practicing as a doctor, Arturs both develops his existing professional knowledge, as well as proactively broadens his experiences further. He lectures students in different study courses, including medical psychology, mental health, psychosomatic medicine, psychosomatics and many others, and has been recognized by students as one of the most interesting lecturers at RSU. In addition to lecturing, Arturs has published various research articles, participated in numerous seminars and conferences, both locally and outside the borders of Latvia."
The wildly complex anatomy of a sneaker,Angel Chang,,,Angel Chang is a womenswear designer working with artisans in rural China. 
How to shift your mindset and choose your future,Tom Rivett-Carnac,,Political strategist,"A political strategist focused on creating a better future, Tom Rivett-Carnac works at the highest levels of business and government to find creative ways to accelerate solutions to the climate crisis."
An ode to living on Earth,Oliver Jeffers,,"Artist, storyteller","With a style that crackles with wry wit, writer and artist Oliver Jeffers captivates audiences of all ages."
What's missing from the American immigrant narrative,Elizabeth Camarillo Gutierrez,,Analyst,Elizabeth Camarillo Gutierrez is a corporate and investment banking analyst at Wells Fargo.
An evolutionary perspective on human health and disease,Lara Durgavich,,Biological anthropologist,"Lara Durgavich brings historical context to human biology, sharing the importance of evolutionary medicine in personal life and beyond."
What's the point(e) of ballet?,Ming Luke,,,
"How to co-parent as allies, not adversaries",Ebony Roberts,,Researcher,Ebony Roberts works to lift the veil of shame for those who have an incarcerated loved one.
"The Gauntlet | Think Like A Coder, Ep 8",Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
,,,,
"How to spark your curiosity, scientifically",Nadya Mason,,Experimental physicist,Nadya Mason is a physics professor at the University of Illinois at Urbana-Champaign.
,,,,
The hidden life of Rosa Parks,Riché Richardson,,,
"The wonders of the molecular world, animated",Janet Iwasa,,Molecular animator,"Janet Iwasa's colorful, action-packed 3D animations bring scientific hypotheses to life."
,,,,
What coronavirus means for the global economy,Ray Dalio,,Hedge fund chair,"Ray Dalio is the founder, chair and co-chief investment officer of Bridgewater Associates, a global leader in institutional portfolio management and the largest hedge fund in the world."
How does alcohol make you drunk?,Judy Grisel,,,"Professor of Psychology, Researcher in Neuroscience and Addiction, Author of  ""Never Enough"""
How understanding divorce can help your marriage,Jeannie Suk Gersen,,"Legal scholar, writer","Jeannie Suk Gersen writes on the legal complexities of the United States's evolving attitudes towards women's rights, sexual harassment and the interplay between law and politics."
A history of Indigenous languages -- and how to revitalize them,Lindsay Morcom,,Interdisciplinary researcher,"Lindsay Morcom researches education, Aboriginal languages, language revitalization and linguistics. "
How the Monkey King escaped the underworld,Shunan Teng,,,
An ethical plan for ending the pandemic and restarting the economy,Danielle Allen,,"Classicist, political theorist",Danielle Allen is an expert on the intersection of ethics and democracy.
The art forger who tricked the Nazis,Noah Charney,,,
"In uncertain times, think like a mother",Yifat Susskind,,Women's rights activist,"By partnering with community-based, women-led organizations on the frontlines of war and climate breakdown, activist Yifat Susskind is fighting for global rights for women."
The intangible effects of walls,Alexandra Auer,,Social designer,Alexandra Auer designs interactive experiences in physical environments. 
It's OK to feel overwhelmed. Here's what to do next,Elizabeth Gilbert,,Writer,"The author of ""Eat, Pray, Love,"" Elizabeth Gilbert has thought long and hard about some big topics. Her fascinations: genius, creativity and how we get in our own way when it comes to both."
What it's really like to have autism,Ethan Lisi,,Neurodiversity advocate,Ethan Lisi believes we are all different and unique in our own way.
Can you solve the sea monster riddle?,Daniel Finkel,,,
How you can help save the monarch butterfly -- and the planet,Mary Ellen Hannibal,,"Author, journalist","In her book ""Citizen Scientist,"" Mary Ellen Hannibal traces the origins of today’s tech-savvy citizen science movement back through centuries of amateur observations by writers and naturalists."
History vs. Sigmund Freud,Todd Dufresne,,,
How forgiveness can create a more just legal system,Martha Minow,,Human rights advocate,Former Harvard Law School Dean Martha Minow tackles the unintended effects of technology on those already impacted by discrimination and disadvantage.
,,,,
The quest for the coronavirus vaccine,Seth Berkley,,Vaccine visionary,"Epidemiologist Seth Berkley is leading the charge to make sure vaccines are available to everyone, including those living in the developing world."
Indigenous knowledge meets science to take on climate change,Hindou Oumarou Ibrahim,,Environmental activist,"Hindou Oumarou Ibrahim advocates for the inclusion of Indigenous peoples, along with their knowledge and traditions, in the global movement to fight climate change."
What the world can learn from China's response to the coronavirus,Gary Liu,,Media executive,"Gary Liu is CEO of the South China Morning Post, a leading news media company that has reported on China and Asia for more than a century."
What is schizophrenia?,Anees Bahji,,,
2 questions to uncover your passion -- and turn it into a career,Noeline Kirabo,,Social entrepreneur,"Noeline Kirabo self-educated her way out of the slums of Kampala, Uganda. Now she helps vulnerable youth gain skills to turn their passions into profitable businesses."
How we must respond to the coronavirus pandemic,Bill Gates,,"Technologist, philanthropist","A passionate tech visionary, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again through his global philanthropic work that strives to reduce inequity everywhere."
"Simple, effective tech to connect communities in crisis",Johanna Figueira,,Digital marketing consultant,"Johanna Figueira is a strategist and digital marketer with Wells Fargo. She is also one of the co-organizers of Code for Venezuela, an organization that leverages technology to help nonprofits in Venezuela."
Why isn't the Netherlands underwater?,Stefan Al,,Architect,Architect and urban designer Stefan Al believes that architecture is more than just buildings.
A camera that can see around corners,David Lindell,,Electrical engineer,David Lindell develops next-generation algorithms and systems for imaging the world in 3D.
Who was the world's first author?,Soraya Field Fiorio,,,
"The weird history of the ""sex chromosomes""",Molly Webster,,Sex chromosome editor,"As a guest host and features producer at WNYC's ""Radiolab,"" Molly Webster has investigated everything from international surrogacy to metamorphosis."
"Go ahead, dream about the future",Charlie Jane Anders,,Author,"Charlie Jane Anders writes novels and stories about building community, discovering our truest selves and coping with radical change."
The imaginary king who changed the real world,Matteo Salvadore,,,
How repaying loans with social service transforms communities,Angie Murimirwa,,Education activist,"As leader of CAMFED (Campaign for Female Education), Angie Murimirwa is determined to remove the considerable hurdles faced by schoolgirls in Africa seeking an education."
"Without farmers, you'd be hungry, naked and sober",Eric Sannerud,,"Farmer, entrepreneur",Eric Sannerud engages with agricultural issues across disciplines and seeks to boost access to farmland for new and young farmers.
How one scientist took on the chemical industry,Mark Lytle,,,
A fascinating time capsule of human feelings toward AI,Lucy Farey-Jones,,Tech strategist,Lucy Farey-Jones is obsessed with what makes people embrace or reject new things.
Why COVID-19 is hitting us now -- and how to prepare for the next outbreak,Alanna Shaikh,,Global health consultant,Alanna Shaikh is a global health consultant who specializes in strengthening health systems. 
How can we control the coronavirus pandemic?,Adam Kucharski,,Epidemiologist,TED Senior Fellow Adam Kucharski is creating new mathematical and computational models to understand how epidemics like Zika and Ebola spread -- and how they can be controlled.
How can we solve the antibiotic resistance crisis?,Gerry Wright,,,
A campaign for period positivity,Ananya Grover,,"Activist, student","After witnessing the stigma related to menstruation, Ananya Grover took action with her classmates. She believes breaking silence is the first step towards period positivity."
How we could change the planet's climate future,David Wallace-Wells,,Journalist,"David Wallace-Wells is a columnist and author of ""The Uninhabitable Earth: Life After Warming,"" which explores all the ways climate change will transform human experience on this planet."
"The beautiful, mysterious science of how you hear",Jim Hudspeth,,"Biophysicist, neuroscientist","A. James ""Jim"" Hudspeth conducts research on hair cells, the sensory receptors of the inner ear."
¿Cuándo te importa mi silla de ruedas?,Rosario Perazolo Masjoan,,Activist,Rosario Perazolo Masjoan is a disability activist.
The tale of the doctor who defied Death,Iseult Gillespie,,,
Why it's so hard to talk about the N-word,Elizabeth Stordeur Pryor,,Historian,"Elizabeth Stordeur Pryor writes, teaches and engages questions on race and racism in the US."
,,,,
The meaning of life according to Simone de Beauvoir,Iseult Gillespie,,,
The real reason you procrastinate,Adam Grant,,Organizational psychologist,"After years of studying the dynamics of success and productivity in the workplace, Adam Grant discovered a powerful and often overlooked motivator: helping others."
How menopause affects the brain,Lisa Mosconi,,Neuroscientist,Researcher Lisa Mosconi studies the brains of living patients with cutting-edge brain-imaging technology -- and uses the data to understand how brain health plays out differently in women than in men.
What happens when a Silicon Valley technologist works for the government,Matt Cutts,,Technologist,"An early employee at Google, Matt Cutts works to modernize the US government as an administrator at U.S. Digital Service (USDS)."
"What's a squillo, and why do opera singers need it?",Ming Luke,,,
The gender-fluid history of the Philippines,France Villarta,,Communications consultant,"France Villarta, a communications consultant for Wells Fargo, is passionate about exploring the intersectionality of gender, politics and culture."
How women are revolutionizing Rwanda,Agnes Binagwaho,,Global health fighter,Agnes Binagwaho helped rebuild the Rwandan health care system and continues to fight for positive change in global health.
NASA's first software engineer,Matt Porter,,,
What investigating neural pathways can reveal about mental health,Kay M. Tye,,Neuroscientist,"Kay M. Tye investigates the neurobiological mechanisms underlying social and emotional processes, particularly those relevant to psychiatric disease."
How a miniaturized atomic clock could revolutionize space exploration,Jill Seubert,,Interplanetary navigator,"Jill Seubert navigates spacecraft throughout the solar system, exploring with robots where humans cannot yet go."
Art that reveals how technology frames reality,Jiabao Li,,Perception designer,"Jiabao Li augments human sensation with her wearables and interactive installations, raising questions about technology's influence on perception, identity and emotion."
What we do (and don't) know about the coronavirus,David Heymann,,"Epidemiologist, professor",David Heymann is a professor of infectious disease epidemiology at the London School of Hygiene and Tropical Medicine. He led the World Health Organization's global response to the SARS epidemic in 2003.
Can you solve the death race riddle?,Alex Gendler,,,
"When local news dies, so does democracy",Chuck Plunkett,,Journalist,Chuck Plunkett advocates for greater public awareness and support of quality local news.
The Egyptian myth of Isis and the seven scorpions,Alex Gendler,,,
How to turn climate anxiety into action,Renée Lertzman,,Climate psychologist,"Dr. Renée Lertzman is a researcher, educator and engagement strategist who uses psychological insights to unlock action on global climate and environmental crises."
What you need to know about stalkerware,Eva Galperin,,Digital security expert,"Eva Galperin is director of cybersecurity for the online security organization Electronic Frontier Foundation, safeguarding the privacy of vulnerable populations."
"The Tower of Epiphany | Think Like A Coder, Ep 7",Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
How bumble bees inspired a network of tiny museums,Amanda Schochet,,Ecologist,"Amanda Schochet is the cofounder of MICRO, a fleet of six-foot-tall science museums designed to transform public spaces and increase access to fundamental scientific knowledge."
3 ways to uproot a culture of corruption,Wanjira Mathai,,"Environmentalist, social entrepreneur, youth leadership advocate",Wanjira Mathai has more than 20 years of experience advocating for social and environmental change on both local and international platforms.
How technology has changed what it's like to be deaf,Rebecca Knill,,"Writer, business systems consultant manager","A writer and a part-time cyborg, Rebecca Knill embraces the humor in her bionic journey while balancing life as a deaf person with cochlear implants which enable her to hear."
How to design gender bias out of your workplace,Sara Sanford,,Gender equity expert,Sara Sanford wants us to move from shared stories to shared data to counter gender inequity.
Why do people fear the wrong things?,Gerd Gigerenzer,,,
Management lessons from Chinese business and philosophy,Fang Ruan,,Management consultant,Fang Ruan is co-lead of the BCG Henderson Institute in China and a regional leader of the People and Organization practice in Asia-Pacific based in BCG's Hong Kong office.
Vultures,Kenny Coogan,,,
What if a single human right could change the world?,Kristen Wenz,,Legal identity expert,Kristen Wenz is an emerging leader in the international development community and is regarded as a top global expert on legal identity.
The real story of the Black Panther Party,Curtis Austin,,Professor,Dr. Curtis Austin is an Associate Professor in the Department of African American and African Studies at the Ohio State University.
How volumetric video brings a new dimension to filmmaking,Diego Prilusky,,Filmmaking pioneer,"As head of Intel Studios, Diego Prilusky is ushering in the next revolution in visual storytelling: volumetric video, which aims to recreate reality as a cinematic experience."
The secret messages of Viking runestones,Jesse Byock,,,
Why you should get paid for your data,Jennifer Zhu Scott,,"Entrepreneur, technologist","As an AI researcher and specialist on digital assets, Jennifer Zhu Scott has her finger on the pulse of technologies that are poised to change our economies and our lives."
How do blood transfusions work?,Bill Schutt,,,
This is your brain on air pollution,María Neira,,Public health leader,"María Neira seeks to improve health and safety around the globe, especially within the world's most vulnerable populations."
"The beautiful, hard work of co-parenting",Joel Leon,,"Performer, author, storyteller","Joel Leon is a performer, author and storyteller from the Bronx. He is the author of ""A Book About Things I Will Tell My Daughter"" and ""God Wears Durags Too,"" and a father to Lilah and West."
A brief tour of the last 4 billion years (dinosaurs not included),Lauren Sallan,,Paleobiologist,"TED Fellow Lauren Sallan is a ""next generation"" paleobiologist applying cutting-edge developments in big data analytics to reveal how evolution happens at the largest scales (macroevolution), particularly in the oceans."
For the love of fangirls,Yve Blake,,"Playwright, performer","Yve Blake challenges the myth that fangirls are something to be laughed at, pointing out the long legacy of sexist derision of young, enthusiastic women."
How surfboards connect us to nature,Yves Béhar,,Designer,"Yves Béhar is a designer, entrepreneur and avid surfer whose principles for good design have been deeply influential across the field."
The power of the Afro pick,Jon Gray,,"Food enthusiast, dishwasher","Culinary evangelist Jon Gray is the voice of Ghetto Gastro, a cooking advocacy collective that ignites conversations about race, class and inclusion via the medium of food."
Why books are here to stay,Chip Kidd,,Graphic designer,Chip Kidd's book jacket designs spawned a revolution in the art of American book packaging.
Why 1.5 billion people eat with chopsticks,Jennifer 8. Lee,,Reporter,Jennifer 8. Lee reports on culture and city life.
The function and fashion of eyeglasses,Debbie Millman,,Design evangelist,"As host of the long-running podcast ""Design Matters,"" Debbie Millman illuminates the creative processes of some of our era's most intriguing artists, designers and icons. She is the founder and chair of the Masters in Branding Program at the School of Visual Arts in NYC."
How the compass unlocked the world,David Biello,,"TED science curator, author","David Biello is TED's science curator and the author of ""The Unnatural World: The Race to Remake Civilization in Earth's Newest Age."""
The evolution of the coffee cup lid,A.J. Jacobs,,Author,"Immersing himself in alternate lifestyles and hilarious experiments (usually with himself as the guinea pig), writer A.J. Jacobs tests the limits of behavior, customs, culture -- and reports back on the wisdom and practical knowledge he's gained."
Why pasta comes in all shapes and sizes,Paola Antonelli,,Curator of architecture and design,"Paola Antonelli is on a mission to introduce -- and explain -- design to the world. With her shows at New York's Museum of Modern Art, she celebrates design's presence in every part of life."
How symbols and brands shape our humanity,Debbie Millman,,Design evangelist,"As host of the long-running podcast ""Design Matters,"" Debbie Millman illuminates the creative processes of some of our era's most intriguing artists, designers and icons. She is the founder and chair of the Masters in Branding Program at the School of Visual Arts in NYC."
Online predators spread fake porn of me. Here's how I fought back,Noelle Martin,,Activist,Noelle Martin advocates for a safer and more just online world.
"The legend of Annapurna, Hindu goddess of nourishment",Antara Raychaudhuri,,,
