talk,speaker,speaker_title,speaker_occ,speaker_bio
Technology can't fix inequality -- but training and opportunities could,'Gbenga Sesan,,Tech inclusionist,'Gbenga Sesan empowers underserved people with information and communications technology.
Community-powered solutions to the climate crisis,Rahwa Ghirmatzion,,Social and climate justice advocate,"Rahwa Ghirmatzion is executive director of People United for Sustainable Housing, a membership-based community organization committed to social and climate justice."
A simple 2-step plan for saving more money,Wendy De La Rosa,,Behavioral scientist,Wendy De La Rosa uses behavioral science to help people make better financial decisions.
"What causes dandruff, and how do you get rid of it?",Thomas Dawson,,,
The artist who won a Nobel Prize... in medicine,Melanie Peffer,,,
A concrete idea to reduce carbon emissions,Karen Scrivener,,Cement researcher,Karen Scrivener researches how to make cement and concrete more sustainable.
How to get everyone to care about a green economy,Angela Francis,,Champion for the green economy,"Angela Francis finds ways to work on changing our human systems -- energy, production, consumption, transport and planning -- to bring them in line with our environment. "
"Why didn't this 2,000 year old body decompose?",Carolyn Marshall,,,
How technology changes our sense of right and wrong,Juan Enriquez,,"Author, academic, futurist","Juan Enriquez thinks and writes about the profound changes that genomics and brain research will bring about in business, technology, politics and society."
"TikTok, Instagram, Snapchat -- and the rise of bite-sized content",Qiuqing Tai,,Video visionary,Qiuqing Tai helps companies discover the best ways to responsibly unlock the power of information and technology.
What if every satellite suddenly disappeared?,Moriba Jah,,Space environmentalist,"TED Fellow Moriba Jah studies and predicts the motion of objects in space in an effort to make space safe, secure, and sustainable."
How a geospatial nervous system could help us design a better future,Jack Dangermond,,Geographic Information Systems pioneer,Jack Dangermond believes that geospatial information will transform nearly everything.
The world's most dangerous fart,Nick Caruso,,,
"When the world is burning, is art a waste of time?",R. Alan Brooks,,Graphic novelist,R. Alan Brooks strongly believes that art is the fuel for most world-changing movements.
How to avoid catching prickly emotions from other people,Jessica Woods,,Sport and performance consultant,"Jessica Woods is an accomplished global business, sport and transformational coach, speaker and author."
Why bats don't get sick,Arinjay Banerjee,,,
A brief history of divorce,Rod Phillips,,,
A stealthy reimagining of urban public space,Elizabeth Diller,,"Architect, artist, designer","Elizabeth Diller and her maverick firm DS+R bring a groundbreaking approach to projects in architecture, urban design and art by playing with new materials and tampering with space and spectacle in ways that make you look twice."
,,,,
The joy of shopping -- and how to recapture it online,Nimisha Jain,,Commerce aficionado,BCG's Nimisha Jain is a managing director and partner at the firm's New Delhi offices.
The Japanese myth of the trickster raccoon,Iseult Gillespie,,,
The 15-minute city,Carlos Moreno,,"Scientific director, Panthéon Sorbonne University-IAE Paris",Carlos Moreno brings pioneering concepts and an innovative perspective to urban issues.
My journey mapping the uncharted world,Tawanda Kanhema,,"Photographer, digital strategist",Tawanda Kanhema puts cities on the map with the goal of improving digital inclusion by accelerating the distribution of technology solutions in places where they are most needed.
The rise of the Ottoman Empire,Mostafa Minawi,,,
How vulnerability makes you a better leader,Tracy Young,,Builder,Tracy Young is a construction engineer turned startup CEO.
Who decides how long a second is?,John Kitching,,,
3 ways to upgrade democracy for the 21st century,Max Rashbrooke,,Writer and researcher,Max Rashbrooke's work focuses on two of the most urgent tasks facing the world: how to renew our systems of democracy and reduce growing economic disparities to have the foundation for a flourishing and harmonious life. 
